?trait_id	?trait_name	?mapped_trait_ids	?mapped_trait_names
"PPO:0002300"	"plant structure present"	"PPO:0002300"	"plant structure present"
"PPO:0002301"	"new shoot system present"	"PPO:0002301|PPO:0002300"	"new shoot system present|plant structure present"
"PPO:0002302"	"new above-ground shoot-borne shoot system present"	"PPO:0002302|PPO:0002301|PPO:0002300"	"new above-ground shoot-borne shoot system present|new shoot system present|plant structure present"
"PPO:0002303"	"new shoot system emerging from ground present"	"PPO:0002303|PPO:0002301|PPO:0002300"	"new shoot system emerging from ground present|new shoot system present|plant structure present"
"PPO:0002304"	"new shoot system emerging from ground in first growth cycle present"	"PPO:0002304|PPO:0002303|PPO:0002301|PPO:0002300"	"new shoot system emerging from ground in first growth cycle present|new shoot system emerging from ground present|new shoot system present|plant structure present"
"PPO:0002305"	"seedling present"	"PPO:0002305|PPO:0002304|PPO:0002303|PPO:0002301|PPO:0002300"	"seedling present|new shoot system emerging from ground in first growth cycle present|new shoot system emerging from ground present|new shoot system present|plant structure present"
"PPO:0002306"	"new shoot system emerging from ground in later growth cycle present"	"PPO:0002306|PPO:0002303|PPO:0002301|PPO:0002300"	"new shoot system emerging from ground in later growth cycle present|new shoot system emerging from ground present|new shoot system present|plant structure present"
"PPO:0002307"	"vegetative bud present"	"PPO:0002307|PPO:0002300"	"vegetative bud present|plant structure present"
"PPO:0002308"	"dormant vegetative bud present"	"PPO:0002308|PPO:0002307|PPO:0002300"	"dormant vegetative bud present|vegetative bud present|plant structure present"
"PPO:0002309"	"non-dormant vegetative bud present"	"PPO:0002309|PPO:0002307|PPO:0002300"	"non-dormant vegetative bud present|vegetative bud present|plant structure present"
"PPO:0002310"	"swelling vegetative bud present"	"PPO:0002310|PPO:0002309|PPO:0002307|PPO:0002300"	"swelling vegetative bud present|non-dormant vegetative bud present|vegetative bud present|plant structure present"
"PPO:0002311"	"breaking vegetative bud present"	"PPO:0002311|PPO:0002314|PPO:0002322|PPO:0002313|PPO:0002312|PPO:0002300|PPO:0002302|PPO:0002301|PPO:0002309|PPO:0002307"	"breaking vegetative bud present|unfolding true leaf present|expanding true leaf present|true leaf present|vascular leaf present|plant structure present|new above-ground shoot-borne shoot system present|new shoot system present|non-dormant vegetative bud present|vegetative bud present"
"PPO:0002312"	"vascular leaf present"	"PPO:0002312|PPO:0002300"	"vascular leaf present|plant structure present"
"PPO:0002313"	"true leaf present"	"PPO:0002313|PPO:0002312|PPO:0002300"	"true leaf present|vascular leaf present|plant structure present"
"PPO:0002314"	"unfolding true leaf present"	"PPO:0002314|PPO:0002322|PPO:0002313|PPO:0002312|PPO:0002300"	"unfolding true leaf present|expanding true leaf present|true leaf present|vascular leaf present|plant structure present"
"PPO:0002315"	"unfolded true leaf present"	"PPO:0002315|PPO:0002313|PPO:0002312|PPO:0002300"	"unfolded true leaf present|true leaf present|vascular leaf present|plant structure present"
"PPO:0002316"	"non-senescing unfolded true leaf present"	"PPO:0002316|PPO:0002315|PPO:0002313|PPO:0002312|PPO:0002300"	"non-senescing unfolded true leaf present|unfolded true leaf present|true leaf present|vascular leaf present|plant structure present"
"PPO:0002317"	"senescing true leaf present"	"PPO:0002317|PPO:0002315|PPO:0002313|PPO:0002312|PPO:0002300"	"senescing true leaf present|unfolded true leaf present|true leaf present|vascular leaf present|plant structure present"
"PPO:0002318"	"immature unfolded true leaf present"	"PPO:0002318|PPO:0002316|PPO:0002315|PPO:0002313|PPO:0002312|PPO:0002300"	"immature unfolded true leaf present|non-senescing unfolded true leaf present|unfolded true leaf present|true leaf present|vascular leaf present|plant structure present"
"PPO:0002319"	"mature true leaf present"	"PPO:0002319|PPO:0002316|PPO:0002315|PPO:0002313|PPO:0002312|PPO:0002300"	"mature true leaf present|non-senescing unfolded true leaf present|unfolded true leaf present|true leaf present|vascular leaf present|plant structure present"
"PPO:0002320"	"expanding unfolded true leaf present"	"PPO:0002320|PPO:0002322|PPO:0002313|PPO:0002312|PPO:0002300|PPO:0002318|PPO:0002316|PPO:0002315"	"expanding unfolded true leaf present|expanding true leaf present|true leaf present|vascular leaf present|plant structure present|immature unfolded true leaf present|non-senescing unfolded true leaf present|unfolded true leaf present"
"PPO:0002321"	"expanded immature true leaf present"	"PPO:0002321|PPO:0002318|PPO:0002316|PPO:0002315|PPO:0002313|PPO:0002312|PPO:0002300"	"expanded immature true leaf present|immature unfolded true leaf present|non-senescing unfolded true leaf present|unfolded true leaf present|true leaf present|vascular leaf present|plant structure present"
"PPO:0002322"	"expanding true leaf present"	"PPO:0002322|PPO:0002313|PPO:0002312|PPO:0002300"	"expanding true leaf present|true leaf present|vascular leaf present|plant structure present"
"PPO:0002323"	"reproductive structure present"	"PPO:0002323|PPO:0002300"	"reproductive structure present|plant structure present"
"PPO:0002324"	"reproductive shoot system present"	"PPO:0002324|PPO:0002323|PPO:0002300"	"reproductive shoot system present|reproductive structure present|plant structure present"
"PPO:0002325"	"non-senesced reproductive shoot system present"	"PPO:0002325|PPO:0002324|PPO:0002323|PPO:0002300"	"non-senesced reproductive shoot system present|reproductive shoot system present|reproductive structure present|plant structure present"
